O que é o Sistema Financeiro Nacional (SFN)?;Conjunto de instituições e instrumentos financeiros que viabilizam a transferência de recursos entre agentes;Bancário, SFN
Quais são os órgãos normativos do SFN?;CMN, CNSP e CNPC;Bancário, SFN
Qual é a função do Banco Central (BACEN)?;Autoridade monetária responsável pela execução da política monetária e supervisão do SFN;Bancário, BACEN
O que é a taxa SELIC?;Taxa básica de juros da economia, usada como referência para outras taxas;Bancário, Taxas
O que é a taxa CDI?;Taxa média de juros das operações interbancárias;Bancário, Taxas
O que é o cheque especial?;Linha de crédito pré-aprovada para pessoa física;Bancário, Crédito
O que é um empréstimo consignado?;Empréstimo com desconto em folha de pagamento, com taxas reduzidas;Bancário, Crédito
O que é o cartão de crédito?;Instrumento de pagamento que permite compras a prazo;Bancário, Pagamentos
O que é o Pix?;Sistema de pagamentos instantâneos do Banco Central;Bancário, Pagamentos
O que é uma conta corrente?;Conta bancária de depósito à vista;Bancário, Contas
O que é uma conta poupança?;Conta bancária com rendimento e baixa liquidez;Bancário, Contas
O que é o FGTS?;Fundo de Garantia do Tempo de Serviço;Bancário, FGTS
O que é o PIS/PASEP?;Programa de Integração Social e Programa de Formação do Patrimônio do Servidor Público;Bancário, PIS
O que é o CDB?;Certificado de Depósito Bancário - título emitido por bancos;Bancário, Investimentos
O que é o LCI?;Letra de Crédito Imobiliário - título emitido por bancos;Bancário, Investimentos
O que é o LCA?;Letra de Crédito do Agronegócio - título emitido por bancos;Bancário, Investimentos
O que é a inflação?;Aumento generalizado e contínuo dos preços;Bancário, Economia
O que é o IPCA?;Índice de Preços ao Consumidor Amplo, usado como referência de inflação;Bancário, Economia
O que é o CDI?;Certificado de Depósito Interbancário, referência para investimentos;Bancário, Taxas
O que é a liquidez?;Capacidade de converter um ativo em dinheiro rapidamente;Bancário, Investimentos
O que é o crédito rural?;Linha de crédito destinada a produtores rurais;Bancário, Crédito
O que é a tarifa bancária?;Valor cobrado pela prestação de serviços bancários;Bancário, Tarifas
O que é o TED?;Transferência Eletrônica Disponível - transferência de valores;Bancário, Pagamentos
O que é o DOC?;Documento de Ordem de Crédito - transferência de valores;Bancário, Pagamentos
O que é o spread bancário?;Diferença entre a taxa que o banco paga e a que cobra;Bancário, Taxas
O que é a cesta de serviços?;Pacote com serviços bancários incluídos;Bancário, Serviços
O que é o extrato bancário?;Registro das movimentações da conta;Bancário, Contas
O que é o comprovante de transação?;Documento que confirma uma operação bancária;Bancário, Documentos
O que é a autenticação bancária?;Processo de verificação de identidade para transações;Bancário, Segurança
O que é o internet banking?;Serviço de acesso a conta pela internet;Bancário, Serviços
