O que é a LDB (Lei 9.394/96)?;Lei de Diretrizes e Bases da Educação Nacional, que regulamenta a educação no Brasil;Específicos, Legislação
O que estabelece a BNCC?;Define as aprendizagens essenciais para a Educação Básica;Específicos, BNCC
Quais são os níveis da Educação Básica?;Educação Infantil, Ensino Fundamental e Ensino Médio;Específicos, Educação
O que é o PNE?;Plano Nacional de Educação - metas para a educação em 10 anos;Específicos, PNE
O que é o FUNDEB?;Fundo de Manutenção e Desenvolvimento da Educação Básica;Específicos, FUNDEB
O que são metodologias ativas?;Estratégias de ensino que colocam o aluno no centro da aprendizagem;Específicos, Metodologias
O que é avaliação formativa?;Avaliação contínua que acompanha o processo de aprendizagem;Específicos, Avaliação
O que é o Currículo de Referência de MS?;Documento que orienta o currículo das escolas estaduais do MS;Específicos, Currículo
O que é a Deliberação CEE/MS n. 10.814/2016?;Estabelece normas para a educação básica no MS;Específicos, Legislação MS
O que é o ECA?;Estatuto da Criança e do Adolescente (Lei 8.069/90);Específicos, ECA
O que são competências socioemocionais?;Habilidades como empatia, autoconhecimento e responsabilidade;Específicos, Socioemocionais
O que é Educação Integral?;Formação que considera todas as dimensões do aluno;Específicos, Educação
Quais são as 10 competências da BNCC?;Conhecimento, Pensamento científico, Repertório cultural, Comunicação, Cultura digital, Trabalho e projeto de vida, Argumentação, Autoconhecimento, Empatia, Responsabilidade;Específicos, BNCC
O que é gestão democrática?;Participação da comunidade escolar nas decisões da escola;Específicos, Gestão
O que são Diretrizes Curriculares Nacionais?;Normas que orientam o currículo na Educação Básica;Específicos, Diretrizes
O que estabelece a Lei 13.415/2017?;Reforma do Ensino Médio;Específicos, Ensino Médio
O que é o projeto político-pedagógico?;Documento que orienta as ações da escola;Específicos, PPP
O que é interdisciplinaridade?;Integração de diferentes disciplinas para abordar um tema;Específicos, Interdisciplinaridade
O que são tecnologias educacionais?;Ferramentas digitais para potencializar o ensino;Específicos, Tecnologia
O que é a Resolução CNE/CP n. 2/2017?;Institui a implantação da BNCC;Específicos, BNCC
