O que é interpretação de texto?;Capacidade de compreender o sentido global do texto, identificando ideias principais, inferências e intenções do autor;Português, Interpretação
O que são sinônimos?;Palavras com significados semelhantes ou idênticos;Português, Semântica
O que são antônimos?;Palavras com significados opostos;Português, Semântica
O que é sentido próprio (denotação)?;Sentido literal, objetivo da palavra, sem contexto figurado;Português, Semântica
O que é sentido figurado (conotação)?;Sentido subjetivo da palavra, dependente do contexto;Português, Semântica
Como usar a vírgula corretamente?;Separa elementos de uma lista, isola aposto e vocativo, separa orações;Português, Pontuação
Como usar o ponto final?;Encerra frases declarativas ou imperativas;Português, Pontuação
Como usar o ponto e vírgula?;Separa itens de uma lista extensa ou orações coordenadas;Português, Pontuação
O que é um substantivo?;Palavra que nomeia seres, objetos, sentimentos, lugares e ideias;Português, Morfologia
O que é um adjetivo?;Palavra que caracteriza ou qualifica o substantivo;Português, Morfologia
O que é um numeral?;Palavra que indica quantidade, ordem ou posição;Português, Morfologia
O que é um pronome?;Palavra que substitui ou acompanha o substantivo;Português, Morfologia
O que é um verbo?;Palavra que expressa ação, estado ou fenômeno da natureza;Português, Morfologia
O que é um advérbio?;Palavra que modifica o verbo, o adjetivo ou outro advérbio;Português, Morfologia
O que é uma preposição?;Palavra que liga termos estabelecendo relação de sentido;Português, Morfologia
O que é uma conjunção?;Palavra que liga orações ou termos de mesma função;Português, Morfologia
O que é concordância verbal?;Flexão do verbo para concordar em número e pessoa com o sujeito;Português, Concordância
O que é concordância nominal?;Concordância entre o substantivo e seus modificadores em gênero e número;Português, Concordância
O que é regência verbal?;Relação entre o verbo e seus complementos (direta ou indireta);Português, Regência
O que é regência nominal?;Relação entre um nome e seu complemento, mediada por preposição;Português, Regência
O que é colocação pronominal?;Posição dos pronomes oblíquos na frase (próclise, mesóclise, ênclise);Português, Colocação
O que é crase?;Fusão da preposição 'a' com o artigo 'a';Português, Crase
Quando usar crase?;Em locuções adverbiais femininas, antes de palavras femininas e em horas;Português, Crase
O que é sujeito da oração?;Termo sobre o qual se declara algo;Português, Sintaxe
O que é predicado?;Parte da oração que contém informação sobre o sujeito;Português, Sintaxe
O que é um período simples?;Possui apenas uma oração, com um único verbo;Português, Sintaxe
O que é um período composto?;Possui duas ou mais orações, com dois ou mais verbos;Português, Sintaxe
O que é intertextualidade?;Relação entre diferentes textos, onde um faz referência a outro;Português, Interpretação
O que são gêneros textuais?;Diferentes tipos de textos com estrutura e propósito comunicativo;Português, Interpretação
O que é coerência textual?;Harmonia lógica entre as ideias do texto;Português, Interpretação
