O que é o Código de Ética do Servidor Público?;Decreto 1.171/94 - estabelece regras de conduta ética para servidores públicos;Ética, Código
Qual é o princípio fundamental do serviço público?;A moralidade administrativa;Ética, Princípios
O que é o Decreto 6.029/2007?;Estabelece normas para a Comissão de Ética Pública;Ética, Decreto 6.029
O que é a Comissão de Ética Pública?;Órgão que fiscaliza a conduta ética dos servidores;Ética, Comissão
Quais são os deveres fundamentais do servidor?;Lealdade, honestidade, moralidade, eficiência, etc.;Ética, Deveres
O que é lealdade no serviço público?;Fidelidade à administração;Ética, Deveres
O que é honestidade no serviço público?;Agir com integridade e retidão;Ética, Deveres
O que é moralidade no serviço público?;Agir com ética e bons costumes;Ética, Deveres
O que é eficiência no serviço público?;Buscar os melhores resultados;Ética, Deveres
O que é assiduidade no serviço público?;Comparecimento regular ao trabalho;Ética, Deveres
O que é pontualidade no serviço público?;Cumprimento de horários;Ética, Deveres
O que é discrição no serviço público?;Sigilo sobre informações confidenciais;Ética, Deveres
O que é urbanidade no serviço público?;Tratamento cortês com o público;Ética, Deveres
O que são proibições éticas?;Atos vedados ao servidor, como receber presentes ou usar o cargo para benefício próprio;Ética, Proibições
O que é conflito de interesses?;Situação onde interesses pessoais se opõem ao interesse público;Ética, Conflito
O que é o enriquecimento ilícito?;Aumento de patrimônio incompatível com os vencimentos;Ética, Ilícitos
O que é o nepotismo?;Nomeação de parentes para cargos públicos;Ética, Nepotismo
O que é a Súmula Vinculante 13 do STF?;Veda o nepotismo na administração pública;Ética, Nepotismo
O que é a improbidade administrativa?;Conduta desonesta de agente público;Ética, Improbidade
O que são os atos de improbidade?;Enriquecimento ilícito, dano ao erário, violação de princípios;Ética, Improbidade
O que é responsabilidade civil do servidor?;Dever de reparar danos causados à administração;Ética, Responsabilidade
O que é responsabilidade criminal do servidor?;Possibilidade de responder por crimes;Ética, Responsabilidade
O que é responsabilidade administrativa do servidor?;Possibilidade de punição disciplinar;Ética, Responsabilidade
O que é a Lei 8.429/92?;Lei de Improbidade Administrativa;Ética, Improbidade
O que é transparência na administração?;Publicidade dos atos e informações públicas;Ética, Transparência
