O que é interpretação de texto?;É a capacidade de compreender o sentido global do texto, identificando ideias principais, inferências e intenções do autor;Português, Interpretação
Quais são os 5 tipos de texto quanto à tipologia?;Narrativo, descritivo, dissertativo, injuntivo e expositivo;Português, Tipologia
O que são figuras de linguagem?;São recursos estilísticos que tornam a mensagem mais expressiva, como metáfora, comparação, personificação, hipérbole, eufemismo e ironia;Português, Figuras
Quais são as classes de palavras variáveis?;Substantivo, adjetivo, artigo, numeral, pronome e verbo;Português, Morfologia
Quais são as classes de palavras invariáveis?;Advérbio, preposição, conjunção e interjeição;Português, Morfologia
O que é regência verbal?;É a relação entre o verbo e seus complementos. Pode ser direta (sem preposição) ou indireta (com preposição);Português, Sintaxe
Quando usar a crase?;Fusão da preposição 'a' com o artigo 'a'. Usa-se em locuções adverbiais femininas, antes de palavras femininas e em indicações de horas;Português, Crase
Quais são os tipos de concordância?;Verbal (verbo concorda com o sujeito) e nominal (artigo, adjetivo, numeral e pronome concordam com o substantivo);Português, Concordância
O que é sujeito na oração?;É o termo sobre o qual se declara algo. Pode ser simples, composto, oculto ou indeterminado;Português, Sintaxe
O que é intertextualidade?;É a relação entre diferentes textos, onde um faz referência a outro, criando diálogos entre as obras;Português, Compreensão
Quais são os tipos de pronomes?;Pessoais (reto/oblíquo), possessivos, demonstrativos, indefinidos, interrogativos e relativos;Português, Morfologia
O que é variação linguística?;São as diferenças no uso da língua por região, classe social, idade, gênero e situação de comunicação;Português, Semântica
O que é coesão textual?;São os elementos que estabelecem conexões entre as partes do texto, como conjunções, pronomes, advérbios e preposições;Português, Coesão
Como se classifica o período composto?;Por coordenação (orações independentes) ou subordinação (orações dependentes);Português, Sintaxe
O que é função textual dos vocábulos?;É o papel que cada palavra desempenha no texto para garantir sua coesão, coerência e progressão temática;Português, Semântica
Qual a diferença entre fonética e fonologia?;Fonética: estuda os sons da fala. Fonologia: estuda os fonemas e suas funções na língua;Português, Fonética
O que é locução verbal?;É a combinação de verbos que funciona como um só verbo, formando uma perífrase verbal;Português, Morfologia
Quais são os elementos de comunicação?;Emissor, receptor, mensagem, código, canal e contexto;Português, Comunicação
O que é denotação e conotação?;Denotação: sentido literal. Conotação: sentido figurado;Português, Semântica
Como usar a pontuação corretamente?;Vírgula: separa elementos. Ponto final: encerra frases. Ponto e vírgula: separa itens de uma lista. Dois pontos: introduz citação;Português, Pontuação
O que é concordância nominal?;É a concordância entre o substantivo e seus modificadores (artigo, adjetivo, numeral, pronome) em gênero e número;Português, Concordância
O que é predicado na oração?;É a parte da oração que contém a informação sobre o sujeito, formado pelo verbo e seus complementos;Português, Sintaxe
Quais são os tipos de sujeito?;Simples (um núcleo), composto (dois ou mais núcleos), oculto/desinencial (subentendido) e indeterminado;Português, Sintaxe
O que são conectivos?;São palavras que estabelecem relações entre ideias, como conjunções, preposições e advérbios;Português, Coesão
Qual a diferença entre discurso direto e indireto?;Direto: reproduz a fala literalmente com aspas. Indireto: relata a fala sem aspas, com alterações;Português, Compreensão
O que é um período simples?;É aquele que possui apenas uma oração, com um único verbo ou locução verbal;Português, Sintaxe
O que é um período composto?;É aquele que possui duas ou mais orações, com dois ou mais verbos;Português, Sintaxe
O que é aposto?;É um termo que explica ou especifica outro termo da oração, geralmente separado por vírgulas;Português, Sintaxe
O que é vocativo?;É o termo usado para chamar ou invocar o interlocutor na oração;Português, Sintaxe
O que é polissemia?;É a propriedade de uma palavra ter múltiplos significados dependendo do contexto;Português, Semântica
