O que é o MS-Windows 10?;Sistema operacional da Microsoft;Informática, Windows
O que é uma pasta?;Local para organizar arquivos;Informática, Windows
O que é um atalho?;Link rápido para um arquivo ou programa;Informática, Windows
O que é área de trabalho?;Tela inicial do Windows;Informática, Windows
O que é área de transferência?;Local temporário para copiar e colar dados;Informática, Windows
Como criar uma tabela no MS-Word?;Inserir → Tabela;Informática, Word
Como formatar parágrafos no MS-Word?;Página Inicial → Parágrafo;Informática, Word
Como inserir uma imagem no MS-Word?;Inserir → Imagens;Informática, Word
O que é uma célula no MS-Excel?;Interseção entre linha e coluna;Informática, Excel
O que é uma planilha?;Documento do Excel com linhas e colunas;Informática, Excel
Como inserir uma fórmula no MS-Excel?;Digitar = seguido da fórmula;Informática, Excel
O que é um gráfico no MS-Excel?;Representação visual de dados;Informática, Excel
Como criar uma apresentação no MS-PowerPoint?;Arquivo → Novo → Apresentação em Branco;Informática, PowerPoint
O que é um slide?;Página de uma apresentação;Informática, PowerPoint
O que é um GIF?;Animação ou imagem sem som;Informática, Internet
O que é um link?;Endereço que direciona para outra página;Informática, Internet
Como pesquisar na Internet?;Usar navegador (Chrome, Firefox, Edge);Informática, Internet
O que é o Gmail?;Serviço de e-mail do Google;Informática, Google
O que é o Google Drive?;Serviço de armazenamento em nuvem do Google;Informática, Google
O que é o Microsoft Teams?;Plataforma de comunicação e colaboração;Informática, Teams
