O que é um sistema operacional?;Software que gerencia os recursos de hardware e software do computador;Informática, SO
Quais são os tipos de sistema operacional?;Windows, Linux, macOS;Informática, SO
O que é o Windows 7?;Sistema operacional da Microsoft, lançado em 2009;Informática, Windows
O que é o Windows 10?;Sistema operacional da Microsoft, lançado em 2015;Informática, Windows
O que é o Linux?;Sistema operacional de código aberto;Informática, Linux
O que é uma rede de computadores?;Conjunto de computadores interligados para compartilhar informações;Informática, Redes
O que é a Internet?;Rede mundial de computadores interligados;Informática, Internet
O que é intranet?;Rede privada de computadores dentro de uma organização;Informática, Intranet
O que é um navegador?;Software para acessar páginas na internet;Informática, Navegadores
Quais são os navegadores mais comuns?;Chrome, Firefox, Edge, Opera, Safari;Informática, Navegadores
O que é segurança da informação?;Conjunto de medidas para proteger dados e sistemas;Informática, Segurança
O que é um vírus de computador?;Programa malicioso que se replica e pode causar danos;Informática, Segurança
O que é um worm?;Programa malicioso que se propaga via rede;Informática, Segurança
O que é um spyware?;Programa que espiona as atividades do usuário;Informática, Segurança
O que é um phishing?;Tentativa de obter informações pessoais fraudulentamente;Informática, Segurança
O que é um firewall?;Sistema que bloqueia acessos não autorizados;Informática, Segurança
O que é criptografia?;Técnica para codificar informações;Informática, Segurança
O que é o LibreOffice?;Suíte de escritório gratuita e de código aberto;Informática, LibreOffice
Quais são os aplicativos do LibreOffice?;Writer (texto), Calc (planilhas), Impress (apresentações), Base (banco de dados);Informática, LibreOffice
O que é o MS Office?;Suíte de escritório da Microsoft;Informática, Office
Quais são os aplicativos do MS Office?;Word, Excel, PowerPoint, Outlook, Access;Informática, Office
O que é a nuvem (cloud computing)?;Armazenamento e processamento de dados pela internet;Informática, Nuvem
Quais são os serviços de nuvem mais comuns?;Google Drive, OneDrive, Dropbox, iCloud;Informática, Nuvem
O que é backup?;Cópia de segurança de dados;Informática, Backup
O que é um arquivo?;Unidade de armazenamento de dados;Informática, Arquivos
