Qual o objetivo da LDB (Lei 9.394/96)?;Estabelecer as diretrizes e bases da educação nacional, garantindo acesso, permanência, qualidade e gestão democrática na educação;Legislação, LDB
Quais são os níveis da Educação Básica segundo a LDB?;Educação Infantil, Ensino Fundamental e Ensino Médio;Legislação, LDB
O que a BNCC estabelece?;Define as aprendizagens essenciais que todos os alunos devem desenvolver ao longo da Educação Básica;Legislação, BNCC
Quantas competências gerais tem a BNCC?;São 10 competências gerais que orientam a formação integral dos estudantes;Legislação, BNCC
Quais são as 10 competências da BNCC?;1.Conhecimento, 2.Pensamento científico, 3.Repertório cultural, 4.Comunicação, 5.Cultura digital, 6.Trabalho e projeto de vida, 7.Argumentação, 8.Autoconhecimento, 9.Empatia, 10.Responsabilidade;Legislação, BNCC
O que é o PNE (Lei 13.005/2014)?;É o Plano Nacional de Educação, com metas e estratégias para a educação brasileira em 10 anos;Legislação, PNE
Qual a função do FUNDEB (Lei 14.113/2020)?;Financiar a educação básica pública, garantindo recursos para manutenção e valorização dos profissionais da educação;Legislação, FUNDEB
O que o ECA (Lei 8.069/90) protege?;Os direitos fundamentais das crianças e adolescentes, garantindo proteção integral e prioridade absoluta;Legislação, ECA
O que são Diretrizes Curriculares Nacionais?;Normas que orientam a organização, planejamento e execução do currículo na Educação Básica;Legislação, Diretrizes
Qual a Deliberação que estabelece normas para educação básica em MS?;Deliberação CEE/MS n. 10.814, de 10 de março de 2016;Legislação, MS
O que é o Plano Estadual de Educação de MS?;É o plano que estabelece metas e estratégias para a educação no estado de Mato Grosso do Sul (Lei 4.621/2014);Legislação, MS
Qual a Resolução que institui a BNCC do Ensino Médio?;Resolução CNE/CEB n. 4, de 17 de dezembro de 2018;Legislação, BNCC
O que estabelece a Lei 13.415/2017?;Institui a Reforma do Ensino Médio, flexibilizando o currículo e ampliando a carga horária;Legislação, Ensino Médio
O que é avaliação formativa?;É a avaliação contínua que acompanha o processo de aprendizagem do aluno, com foco no desenvolvimento e não apenas na nota final;Legislação, Avaliação
O que são competências socioemocionais?;São habilidades como empatia, autoconhecimento, responsabilidade, resiliência e colaboração, trabalhadas na BNCC;Legislação, BNCC
Qual a Resolução que orienta a implantação da BNCC?;Resolução CNE/CP n. 2, de 22 de dezembro de 2017;Legislação, BNCC
O que é Educação Integral?;É a formação que considera todas as dimensões do aluno: intelectual, social, emocional, cultural, física e ética;Legislação, Educação
O que o Marco Civil da Internet estabelece?;Lei 12.965/2014 - estabelece princípios, garantias, direitos e deveres para o uso da Internet no Brasil;Legislação, Tecnologia
O que são metodologias ativas?;Estratégias de ensino que colocam o aluno no centro do processo de aprendizagem, como sala de aula invertida, gamificação e projetos;Legislação, Metodologias
O que é o Currículo de Referência de MS?;Documento que organiza e orienta o currículo das escolas da rede estadual de Mato Grosso do Sul;Legislação, MS
Qual a Lei que institui o Sistema Estadual de Ensino de MS?;Deliberação CEE/MS n. 10.814/2016, que estabelece normas para a educação básica no Sistema Estadual de Ensino;Legislação, MS
O que é a LDB?;Lei de Diretrizes e Bases da Educação Nacional (Lei 9.394/96), principal lei que regula a educação no Brasil;Legislação, LDB
Quais são as modalidades de ensino previstas na LDB?;Educação Especial, Educação de Jovens e Adultos (EJA), Educação Profissional e Tecnológica, Educação a Distância;Legislação, LDB
O que é gestão democrática na educação?;É a participação da comunidade escolar (pais, alunos, professores, funcionários) nas decisões da escola;Legislação, Gestão
O que estabelece o Plano Nacional de Educação?;Metas para a educação brasileira em 10 anos, com foco na qualidade, acesso, permanência e valorização dos profissionais;Legislação, PNE
