O que é Direito Administrativo?;Ramo do direito que regula a atividade da Administração Pública;Administrativo, Conceito
Quais são os princípios do Direito Administrativo?;Legalidade, impessoalidade, moralidade, publicidade, eficiência, continuidade, etc.;Administrativo, Princípios
O que é o princípio da continuidade?;Serviços públicos não podem ser interrompidos;Administrativo, Princípios
O que é a organização administrativa?;Estrutura da Administração Pública;Administrativo, Organização
O que é administração direta?;Órgãos diretamente ligados ao chefe do Executivo;Administrativo, Administração
O que é administração indireta?;Entidades com personalidade jurídica própria (autarquias, fundações, empresas públicas, sociedades de economia mista);Administrativo, Administração
O que são autarquias?;Entidades administrativas autônomas criadas por lei;Administrativo, Administração
O que são fundações públicas?;Entidades que prestam serviços de natureza pública;Administrativo, Administração
O que são empresas públicas?;Entidades que exploram atividades econômicas;Administrativo, Administração
O que são sociedades de economia mista?;Empresas com capital público e privado;Administrativo, Administração
O que são poderes administrativos?;Hierárquico, disciplinar, regulamentar e de polícia;Administrativo, Poderes
O que é poder hierárquico?;Poder de organizar e coordenar a administração;Administrativo, Poderes
O que é poder disciplinar?;Poder de punir servidores e particulares;Administrativo, Poderes
O que é poder regulamentar?;Poder de editar normas para complementar leis;Administrativo, Poderes
O que é poder de polícia?;Poder de limitar direitos para o bem público;Administrativo, Poderes
O que é uso e abuso do poder?;Uso: atuação dentro da lei. Abuso: atuação além dos limites legais;Administrativo, Poderes
O que é um ato administrativo?;Declaração do Estado ou de seus agentes, no exercício de funções administrativas;Administrativo, Atos
Quais são os atributos do ato administrativo?;Presunção de legitimidade, imperatividade, autoexecutoriedade, tipicidade;Administrativo, Atos
O que é presunção de legitimidade?;Ato administrativo presume-se válido até prova em contrário;Administrativo, Atos
O que é imperatividade?;O ato impõe obrigações independentemente da vontade do destinatário;Administrativo, Atos
O que é autoexecutoriedade?;O ato pode ser executado pela própria administração;Administrativo, Atos
O que é tipicidade?;O ato deve corresponder a uma figura prevista em lei;Administrativo, Atos
O que é a Lei 8.112/90?;Regime Jurídico Único dos servidores públicos civis da União;Administrativo, Lei 8.112/90
O que é provimento de cargo?;Atribuição de cargo público a uma pessoa;Administrativo, Servidores
O que é vacância de cargo?;Desocupação de cargo público;Administrativo, Servidores
O que é remoção?;Mudança de localidade de servidor;Administrativo, Servidores
O que é redistribuição?;Transferência de servidor entre órgãos;Administrativo, Servidores
O que é substituição?;Servidor que assume função de outro;Administrativo, Servidores
Quais são os direitos dos servidores?;Vencimentos, licenças, aposentadoria, etc.;Administrativo, Servidores
Quais são os deveres dos servidores?;Lealdade, assiduidade, discrição, etc.;Administrativo, Servidores
O que é regime disciplinar?;Normas sobre punições para servidores;Administrativo, Disciplina
O que é a Lei de Improbidade Administrativa?;Lei 8.429/92 - define atos de improbidade e suas penalidades;Administrativo, Improbidade
O que é a Lei 9.784/99?;Lei que regula o processo administrativo na administração pública federal;Administrativo, Processo
O que é processo administrativo?;Conjunto de procedimentos para decisões administrativas;Administrativo, Processo
O que é controle da administração?;Fiscalização dos atos da administração;Administrativo, Controle
Quais são os tipos de controle?;Controle administrativo, judicial e legislativo;Administrativo, Controle
