Quais são os direitos fundamentais?;Direitos individuais, coletivos, sociais, políticos;Administração, Constituição
O que são direitos políticos?;Direito de votar e ser votado;Administração, Constituição
O que é a administração pública?;Conjunto de órgãos e serviços do Estado;Administração, Administração Pública
O que é a Defesa do Estado?;Garantia da soberania e integridade territorial;Administração, Constituição
O que é a Segurança Pública?;Garantia da ordem e proteção da sociedade;Administração, Constituição
Quais são os poderes do Estado?;Executivo, Legislativo e Judiciário;Administração, Constituição
O que é o Poder Executivo?;Responsável pela administração e execução das leis;Administração, Constituição
O que é o Poder Judiciário?;Responsável pela aplicação das leis;Administração, Constituição
O que é a Justiça Militar?;Tribunal para julgamento de militares;Administração, Constituição
O que são servidores públicos?;Agentes que prestam serviços ao Estado;Administração, Servidor Público
O que são servidores públicos civis?;Servidores não militares do Estado;Administração, Servidor Público
O que são servidores públicos militares?;Servidores das Forças Armadas e Auxiliares;Administração, Servidor Público
O que é a Polícia Militar?;Força auxiliar e reserva do Exército;Administração, Segurança
O que é a Lei de Acesso à Informação?;Lei 12.527/11 - garante acesso a informações públicas;Administração, Legislação
O que é o Decreto 68.155/23?;Regulamenta a Lei de Acesso à Informação no Estado de SP;Administração, Legislação
