O que foi a Primeira Guerra Mundial?;Conflito global (1914-1918) entre as potências europeias;Conhecimentos Gerais, História Geral
O que foi o nazifascismo?;Ideologia totalitária da Alemanha (nazismo) e Itália (fascismo) no século XX;Conhecimentos Gerais, História Geral
O que foi a Segunda Guerra Mundial?;Conflito global (1939-1945) entre os Aliados e o Eixo;Conhecimentos Gerais, História Geral
O que foi a Guerra Fria?;Tensão geopolítica entre EUA e URSS (1947-1991);Conhecimentos Gerais, História Geral
O que é globalização?;Processo de integração econômica, política e cultural entre países;Conhecimentos Gerais, História Geral
O que são políticas neoliberais?;Políticas de livre mercado, privatizações e redução do estado;Conhecimentos Gerais, História Geral
O que foi a Revolução de 1930?;Movimento que levou Getúlio Vargas ao poder;Conhecimentos Gerais, História do Brasil
O que foi a Era Vargas?;Período de governo de Getúlio Vargas (1930-1945 e 1951-1954);Conhecimentos Gerais, História do Brasil
Quais foram as Constituições Republicanas?;1891, 1934, 1937, 1946, 1967 e 1988;Conhecimentos Gerais, História do Brasil
O que foi o período militar no Brasil?;Regime militar (1964-1985) com governos de presidentes generais;Conhecimentos Gerais, História do Brasil
O que foi a redemocratização?;Processo de retorno à democracia (1985) após o regime militar;Conhecimentos Gerais, História do Brasil
O que é a nova ordem mundial?;Período pós-Guerra Fria com hegemonia dos EUA;Conhecimentos Gerais, Geografia
O que é espaço geopolítico?;Território influenciado por relações de poder;Conhecimentos Gerais, Geografia
Quais são os principais problemas ambientais?;Desmatamento, poluição, aquecimento global, escassez de água;Conhecimentos Gerais, Geografia
Qual é o relevo brasileiro?;Planaltos, planícies e depressões;Conhecimentos Gerais, Geografia do Brasil
Qual é a hidrografia brasileira?;12 regiões hidrográficas, com destaque para Amazônica, Tocantins, São Francisco;Conhecimentos Gerais, Geografia do Brasil
Quais são os climas do Brasil?;Equatorial, tropical, semiárido, tropical de altitude, subtropical;Conhecimentos Gerais, Geografia do Brasil
Qual é a vegetação brasileira?;Amazônia, Cerrado, Mata Atlântica, Caatinga, Pampa, Pantanal;Conhecimentos Gerais, Geografia do Brasil
Qual é a estrutura da população brasileira?;Jovem com envelhecimento gradativo;Conhecimentos Gerais, Geografia do Brasil
O que é urbanização?;Processo de crescimento das cidades;Conhecimentos Gerais, Geografia do Brasil
O que é industrialização?;Processo de transformação da economia com indústrias;Conhecimentos Gerais, Geografia do Brasil
Quais são as fontes de energia no Brasil?;Hidrelétrica, eólica, solar, biomassa, petróleo, gás;Conhecimentos Gerais, Geografia do Brasil
O que é agropecuária?;Atividade agrícola e pecuária;Conhecimentos Gerais, Geografia do Brasil
Quais são os impactos ambientais no Brasil?;Desmatamento, queimadas, poluição de rios, perda de biodiversidade;Conhecimentos Gerais, Geografia do Brasil
O que são atualidades?;Acontecimentos recentes de relevância nacional e internacional;Conhecimentos Gerais, Atualidades
