O que é uma proposição lógica?;Frase que pode ser classificada como verdadeira ou falsa;Lógica, Proposições
O que é uma proposição simples?;Frase com uma única afirmação;Lógica, Proposições
O que é uma proposição composta?;Frase com mais de uma afirmação ligadas por conectivos;Lógica, Proposições
O que é o conectivo "e" (∧)?;Conjunção - verdadeira apenas quando ambas proposições são verdadeiras;Lógica, Conectivos
O que é o conectivo "ou" (∨)?;Disjunção - verdadeira quando pelo menos uma proposição é verdadeira;Lógica, Conectivos
O que é o conectivo "se...então" (→)?;Condicional - falsa apenas quando primeira é verdadeira e segunda falsa;Lógica, Conectivos
O que é o conectivo "se e somente se" (↔)?;Bicondicional - verdadeira quando ambas têm o mesmo valor;Lógica, Conectivos
O que é a negação (¬)?;Inverte o valor lógico da proposição;Lógica, Conectivos
O que é uma tautologia?;Proposição composta sempre verdadeira;Lógica, Tautologia
O que é contradição?;Proposição composta sempre falsa;Lógica, Contradição
O que é uma contingência?;Proposição que pode ser verdadeira ou falsa;Lógica, Contingência
O que é um conjunto?;Agrupamento de elementos com características comuns;Lógica, Conjuntos
O que é união de conjuntos?;Reunião de todos os elementos de dois ou mais conjuntos;Lógica, Conjuntos
O que é interseção de conjuntos?;Elementos comuns a dois ou mais conjuntos;Lógica, Conjuntos
O que é diferença de conjuntos?;Elementos de um conjunto que não estão no outro;Lógica, Conjuntos
O que é um diagrama lógico?;Representação visual de conjuntos e relações;Lógica, Diagramas
O que é porcentagem?;Razão centesimal representada pelo símbolo %;Lógica, Porcentagem
Como calcular porcentagem?;Valor × (percentual/100);Lógica, Porcentagem
O que é a regra de três?;Método para resolver problemas de proporcionalidade;Lógica, Proporção
O que é um argumento lógico?;Sequência de proposições onde uma conclusão é derivada das premissas;Lógica, Argumentos
