O que são direitos fundamentais?;Direitos básicos garantidos pela Constituição para todos os cidadãos;Constitucional, Direitos Fundamentais
Quais são os direitos individuais e coletivos?;Direito à vida, liberdade, igualdade, segurança e propriedade;Constitucional, Direitos Fundamentais
O que é o direito à vida?;Direito fundamental que protege a existência humana;Constitucional, Direitos Fundamentais
O que é o direito à liberdade?;Direito de agir conforme a própria vontade, dentro dos limites legais;Constitucional, Direitos Fundamentais
O que é o direito à igualdade?;Tratamento igual a todos perante a lei;Constitucional, Direitos Fundamentais
O que é o direito à segurança?;Direito de não sofrer violências ou ameaças;Constitucional, Direitos Fundamentais
O que é o direito à propriedade?;Direito de possuir e dispor de bens;Constitucional, Direitos Fundamentais
O que são direitos sociais?;Direitos à educação, saúde, trabalho, moradia, lazer, etc.;Constitucional, Direitos Sociais
O que é nacionalidade?;Vínculo jurídico entre a pessoa e o Estado;Constitucional, Nacionalidade
O que é cidadania?;Conjunto de direitos e deveres de um cidadão;Constitucional, Cidadania
O que são garantias constitucionais?;Instrumentos para proteger os direitos fundamentais;Constitucional, Garantias
O que é o mandado de segurança?;Garantia para proteger direito líquido e certo;Constitucional, Garantias
O que é o habeas corpus?;Garantia para proteger a liberdade de locomoção;Constitucional, Garantias
O que é o habeas data?;Garantia para acessar informações pessoais;Constitucional, Garantias
O que é o mandado de injunção?;Garantia para quando falta norma regulamentadora;Constitucional, Garantias
O que é o habeas corpus coletivo?;Protege a liberdade de um grupo de pessoas;Constitucional, Garantias
O que é a Administração Pública?;Conjunto de órgãos e serviços do Estado para gestão dos interesses públicos;Constitucional, Administração Pública
Quais são os princípios da Administração Pública?;Legalidade, impessoalidade, moralidade, publicidade e eficiência;Constitucional, Administração Pública
O que é o princípio da legalidade?;O administrador só pode fazer o que a lei permite;Constitucional, Princípios
O que é o princípio da impessoalidade?;A administração deve tratar todos igualmente;Constitucional, Princípios
O que é o princípio da moralidade?;A administração deve agir com ética;Constitucional, Princípios
O que é o princípio da publicidade?;Os atos administrativos devem ser divulgados;Constitucional, Princípios
O que é o princípio da eficiência?;A administração deve buscar os melhores resultados;Constitucional, Princípios
O que são agentes públicos?;Pessoas que exercem funções públicas;Constitucional, Agentes
Quais são os direitos dos servidores públicos?;Estabilidade, irredutibilidade de vencimentos, etc.;Constitucional, Servidores
O que é estabilidade?;Direito do servidor após 3 anos de estágio probatório;Constitucional, Servidores
O que é acumulação de cargos?;Possibilidade de exercer mais de um cargo público;Constitucional, Servidores
Quais as regras para acumulação de cargos?;Permitida apenas para professor + técnico/científico, ou dois cargos na área da saúde;Constitucional, Servidores
O que é a improbidade administrativa?;Conduta desonesta de agente público;Constitucional, Improbidade
O que é a Lei 8.112/90?;Regime Jurídico Único dos Servidores Civis da União;Constitucional, Lei 8.112/90
O que é o Regime Jurídico Único?;Conjunto de normas que regem os servidores públicos federais;Constitucional, RJU
O que é servidor público?;Pessoa que exerce função pública em órgão estatal;Constitucional, Servidores
O que são servidores ocupantes de cargo efetivo?;Servidores com estabilidade após estágio probatório;Constitucional, Servidores
O que são servidores comissionados?;Servidores de confiança, exoneráveis a qualquer momento;Constitucional, Servidores
O que é a Emenda Constitucional 103/2019?;Reforma da Previdência - altera regras para aposentadoria;Constitucional, EC 103/2019
