O que é interpretação de texto?;Capacidade de compreender o sentido global do texto, identificando ideias principais e inferências;Português, Interpretação
O que é uma ideia principal?;É a mensagem central que o autor quer transmitir;Português, Interpretação
O que são ideias secundárias?;Informações que complementam, exemplificam ou detalham a ideia principal;Português, Interpretação
O que é uma inferência?;Conclusão que o leitor tira a partir de informações implícitas no texto;Português, Interpretação
Quais são os tipos de texto?;Narrativo, descritivo, dissertativo, injuntivo e expositivo;Português, Tipologia
O que é um texto dissertativo?;Expõe e defende uma ideia ou ponto de vista sobre um tema;Português, Tipologia
O que são figuras de linguagem?;Recursos estilísticos que tornam a mensagem mais expressiva;Português, Figuras
O que é uma metáfora?;Comparação implícita entre dois termos;Português, Figuras
O que é uma hipérbole?;Exagero intencional para enfatizar uma ideia;Português, Figuras
O que são classes de palavras variáveis?;Substantivo, adjetivo, artigo, numeral, pronome e verbo;Português, Morfologia
O que são classes de palavras invariáveis?;Advérbio, preposição, conjunção e interjeição;Português, Morfologia
O que é um substantivo?;Palavra que nomeia seres, objetos, sentimentos, lugares e ideias;Português, Morfologia
O que é um adjetivo?;Palavra que caracteriza ou qualifica o substantivo;Português, Morfologia
O que é um verbo?;Palavra que expressa ação, estado ou fenômeno da natureza;Português, Morfologia
O que é um advérbio?;Palavra que modifica o verbo, o adjetivo ou outro advérbio;Português, Morfologia
Quando usar crase?;Fusão da preposição 'a' com o artigo 'a'. Usa-se em locuções adverbiais femininas, antes de palavras femininas e em horas;Português, Crase
O que é concordância verbal?;Flexão do verbo para concordar em número e pessoa com o sujeito;Português, Concordância
O que é concordância nominal?;Concordância entre o substantivo e seus modificadores em gênero e número;Português, Concordância
O que é regência verbal?;Relação entre o verbo e seus complementos (direta ou indireta);Português, Regência
O que é regência nominal?;Relação entre um nome e seu complemento, mediada por preposição;Português, Regência
O que é pontuação?;Uso de sinais gráficos para estruturar o texto;Português, Pontuação
O que é denotação?;Sentido literal, objetivo da palavra;Português, Semântica
O que é conotação?;Sentido figurado, subjetivo da palavra;Português, Semântica
O que é redação oficial?;Forma padronizada de escrever documentos oficiais;Português, Redação
Quais são os atributos da redação oficial?;Clareza, precisão, objetividade, concisão, coesão, coerência, impessoalidade;Português, Redação
O que é coesão textual?;Conexão entre as partes do texto;Português, Coesão
O que é coerência textual?;Harmonia lógica entre as ideias;Português, Coerência
O que é intertextualidade?;Relação entre diferentes textos;Português, Interpretação
O que é polissemia?;Propriedade de uma palavra ter múltiplos significados;Português, Semântica
O que é sinonímia?;Relação entre palavras de significados semelhantes;Português, Semântica
