O que é a BNCC?;Base Nacional Comum Curricular - documento que define as aprendizagens essenciais para a Educação Básica;Pedagogia, BNCC
Quantas são as competências gerais da BNCC?;São 10 competências gerais que os estudantes devem desenvolver ao longo da Educação Básica;Pedagogia, BNCC
Quais são os eixos estruturantes da BNCC?;Conhecimento, Pensamento científico, Repertório cultural, Comunicação, Cultura digital, Trabalho e projeto de vida, Argumentação, Autoconhecimento, Empatia e Responsabilidade;Pedagogia, BNCC
O que é o Currículo de Referência de MS?;Documento que organiza e orienta o currículo das escolas da rede estadual de Mato Grosso do Sul;Pedagogia, Currículo MS
O que são metodologias ativas?;Estratégias de ensino que colocam o aluno como protagonista do processo de aprendizagem;Pedagogia, Metodologias
Qual a função da avaliação formativa?;Acompanhar o processo de aprendizagem do aluno, identificando dificuldades e promovendo melhorias contínuas;Pedagogia, Avaliação
O que são competências socioemocionais?;Habilidades como autoconhecimento, empatia, resiliência, colaboração e responsabilidade;Pedagogia, Socioemocionais
O que é Educação Integral?;Abordagem que considera todas as dimensões do ser humano: intelectual, social, emocional, física, cultural e ética;Pedagogia, Educação Integral
O que estabelece a Deliberação CEE/MS n. 10.814/2016?;Estabelece normas para a educação básica no Sistema Estadual de Ensino de Mato Grosso do Sul;Pedagogia, Legislação MS
O que é a LDB?;Lei de Diretrizes e Bases da Educação Nacional (Lei 9.394/96) - principal lei da educação brasileira;Pedagogia, LDB
O que é o PNE?;Plano Nacional de Educação - Lei 13.005/2014 com metas para a educação em 10 anos;Pedagogia, PNE
O que é o FUNDEB?;Fundo de Manutenção e Desenvolvimento da Educação Básica - Lei 14.113/2020;Pedagogia, FUNDEB
O que são Diretrizes Curriculares Nacionais?;Normas que orientam a organização curricular na Educação Básica;Pedagogia, Diretrizes
O que é a Resolução CNE/CP n. 2/2017?;Institui e orienta a implantação da Base Nacional Comum Curricular;Pedagogia, BNCC
O que estabelece a Lei 13.415/2017?;Reforma do Ensino Médio, flexibilizando o currículo e ampliando a carga horária;Pedagogia, Ensino Médio
O que é a gestão democrática na educação?;Participação da comunidade escolar nas decisões da escola, garantindo transparência e autonomia;Pedagogia, Gestão
O que são tecnologias educacionais?;Ferramentas digitais e metodologias que utilizam tecnologia para potencializar o ensino e a aprendizagem;Pedagogia, Tecnologia
O que é o ECA?;Estatuto da Criança e do Adolescente (Lei 8.069/90) - protege os direitos de crianças e adolescentes;Pedagogia, ECA
Qual o papel do professor na BNCC?;Mediar o processo de aprendizagem, desenvolvendo as competências e habilidades dos alunos;Pedagogia, BNCC
O que são habilidades na BNCC?;São capacidades práticas que os alunos devem desenvolver para aplicar os conhecimentos aprendidos;Pedagogia, BNCC
O que é avaliação somativa?;Avaliação que ocorre ao final de um período para verificar o que o aluno aprendeu;Pedagogia, Avaliação
Quais são as modalidades da Educação Básica?;Educação Infantil, Ensino Fundamental e Ensino Médio;Pedagogia, Educação Básica
O que é interdisciplinaridade?;Abordagem que integra diferentes disciplinas para abordar um tema de forma ampla e contextualizada;Pedagogia, Interdisciplinaridade
O que é projeto político-pedagógico?;Documento que orienta as ações da escola, definindo objetivos, metas e estratégias pedagógicas;Pedagogia, PPP
Como a BNCC influencia o currículo?;Define as aprendizagens essenciais que devem ser garantidas em todas as escolas do país;Pedagogia, BNCC
